id,mean_width_microns,mean_height_microns,avg_direction_radians,avg_speed_mps,total_distance_microns,distance_change_microns,min_width_microns,max_width_microns,min_height_microns,max_heigh_microns
0,237.41944334616113,235.68261887653418,2.7394488629272042,521.0533370827862,31228.46333582832,13.756816492197604,209.54598370197903,293.3643771827706,209.05923344947735,271.7770034843205
1,269.97536466061536,252.19585793888587,2.6477810331448928,143.8071731670234,8618.8432451436,18.66815470259447,230.50058207217694,335.27357392316645,229.96515679442507,334.49477351916374
2,245.02553158170267,236.54256236042863,2.966763235200015,1418.3527807506046,85006.60999298624,419.4654336175986,167.63678696158323,335.27357392316645,167.24738675958187,334.49477351916374
3,228.79998654018755,223.79448125458782,2.3444733178652832,144.18731685104987,8641.626523272922,15.116216457830975,188.59138533178114,272.40977881257277,209.05923344947735,271.7770034843205
4,220.08734641739267,220.35470731900995,2.7464450635448503,612.9332287935958,36735.131512362845,56.632587791835896,167.63678696158323,272.40977881257277,167.24738675958187,271.7770034843205
5,253.8662987651269,250.31327896063044,2.455563499246945,199.074646494417,11931.207146565393,10.198039027185569,209.54598370197903,314.31897555296854,209.05923344947735,313.588850174216
6,246.60964796766538,247.02457617762866,3.034352290451791,1055.1695202475407,63239.82658016927,95.30083945065752,188.59138533178114,335.27357392316645,188.1533101045296,334.49477351916374
7,227.2042222396222,233.42817244578384,3.176770752731413,1360.274166056256,81525.76501897161,760.848210880462,167.63678696158323,293.3643771827706,188.1533101045296,313.588850174216
8,215.40488474712052,220.66847048205256,2.9621625011046158,576.6781245188384,34562.24226282905,596.4079979343,188.59138533178114,272.40977881257277,188.1533101045296,271.7770034843205
9,242.17179250404925,245.81600695702025,2.721907072841043,501.94160072246365,30083.03326996632,61.50203248673982,209.54598370197903,293.3643771827706,209.05923344947735,292.6829268292683
10,228.26418246846487,236.07772804481,2.33696295733667,80.29877996969661,4812.573546183817,9.848857801796104,209.54598370197903,293.3643771827706,209.05923344947735,250.8710801393728
11,219.7845006377233,223.55044323888802,2.8011093610356195,734.0358897345715,43993.21765809198,87.65414993027997,188.59138533178114,314.31897555296854,146.34146341463415,292.6829268292683
12,231.23440069214496,229.48870162091598,2.757351365241226,551.7185546757236,33066.33204356503,97.49487166000065,188.59138533178114,272.40977881257277,188.1533101045296,271.7770034843205
13,227.61189925071554,235.63613544497233,3.3172645517035755,1057.903140777012,63403.66157056892,214.1051143714227,167.63678696158323,314.31897555296854,188.1533101045296,313.588850174216
14,237.2214287979158,239.51750198038786,2.7921535557371446,492.54986664229136,29520.155340761332,350.6240864515728,209.54598370197903,314.31897555296854,188.1533101045296,292.6829268292683
15,239.88880124192653,233.3003430089887,2.8467919528471373,897.1281534322128,53767.880662370626,300.78979370982654,188.59138533178114,335.27357392316645,167.24738675958187,334.49477351916374
16,219.6447256624913,230.27891995746765,2.972738393070344,1352.9737846099117,81088.22882428738,723.7908883096001,146.6821885913853,335.27357392316645,167.24738675958187,334.49477351916374
17,232.702037932081,235.229405418806,2.689195546492592,657.1555109128468,39385.52028737662,105.90561835898981,188.59138533178114,335.27357392316645,209.05923344947735,334.49477351916374
18,226.19085366919015,239.71505656452578,2.7059303546195843,1092.227101859732,65460.81097145995,106.92286939658887,146.6821885913853,314.31897555296854,188.1533101045296,334.49477351916374
19,224.74651225845946,227.07156317969913,2.7758223297028466,677.7600591101415,40620.41954266781,290.7447334002802,188.59138533178114,314.31897555296854,188.1533101045296,292.6829268292683
