id,mean_width_microns,mean_height_microns,avg_direction_radians,avg_speed_mps,total_distance_microns,distance_change_microns,min_width_microns,max_width_microns,min_height_microns,max_height_microns,spiral_score
0,265.43317716191535,269.1223577574581,2.846161198632747,655.0019006392473,39256.44724497889,186.5502613238588,214.28571428571428,364.2857142857143,170.01180637544275,340.0236127508855,122.2742058588971
1,217.97824188040974,220.9019440814883,2.001471562358313,363.3214263307955,21775.06415142568,441.387018386359,192.85714285714283,300.0,191.2632821723731,297.5206611570248,104.17991831531046
2,271.2340188993885,269.7720693576978,2.7751406415487883,610.3943345696265,36582.967118539615,408.96362918968725,214.28571428571428,342.85714285714283,212.51475796930345,340.0236127508855,126.93418560561075
3,234.73755260859204,236.47139661086806,2.788280843684282,603.2825475257009,36156.73401504034,100.0012499921876,192.85714285714283,321.4285714285714,212.51475796930345,297.5206611570248,121.38871815085065
4,253.18827920273165,257.900066480591,2.745677581636209,516.2004097062602,30937.611221728526,52.690131903421914,214.28571428571428,342.85714285714283,212.51475796930345,361.2750885478158,109.50794973256244
5,232.16469467164296,232.37230706026503,2.450268548839928,603.7341356001701,36183.79919363687,729.5978344266107,150.0,342.85714285714283,148.7603305785124,318.77213695395517,127.47825929576454
6,248.29270229492576,250.49335423785877,2.7430654398684227,488.673644486072,29287.840426198585,14.866068747318506,214.28571428571428,321.4285714285714,191.2632821723731,340.0236127508855,93.5228842097113
7,256.49964265861985,259.64838133214505,2.795730540377217,758.9012110699033,45483.47925012287,450.88939885519596,150.0,342.85714285714283,170.01180637544275,340.0236127508855,97.03975865393899
8,256.33288334789165,263.074133406136,2.714467526041185,847.0659398439266,50767.48532797933,192.2563392973038,192.85714285714283,321.4285714285714,212.51475796930345,361.2750885478158,133.2828760555419
9,266.9578337171444,269.37042945936776,2.681114503537859,688.6011020585487,41270.159383375685,511.4990224819594,214.28571428571428,342.85714285714283,233.76623376623377,361.2750885478158,99.10991285990482
10,264.0633685380767,264.92876470136565,2.829520516193421,844.8162414668894,50632.65340524891,138.85243966167826,192.85714285714283,342.85714285714283,170.01180637544275,361.2750885478158,163.7220538931216
11,258.893829905503,263.57027680995543,3.181425859186906,795.9063488291897,47701.32050649611,620.0582633914332,171.42857142857142,342.85714285714283,191.2632821723731,340.0236127508855,101.6344872026371
12,280.71547685221947,280.4273396016284,2.7768785782485446,712.9489028167728,42729.40424215192,153.89363209697794,257.1428571428571,321.4285714285714,233.76623376623377,340.0236127508855,139.7615950953436
13,252.30683713173983,257.03772199300016,2.3955262629558356,349.31694746914974,20935.72905165104,236.1022024463135,214.28571428571428,321.4285714285714,212.51475796930345,340.0236127508855,104.97908063422486
14,241.46748193440797,247.03216334930923,2.6440256107257913,691.6518987798498,41453.00380020567,194.82941256391447,192.85714285714283,342.85714285714283,212.51475796930345,340.0236127508855,100.08300313799955
15,265.05201302310803,272.9970014825238,2.9212639400786076,918.2726074555603,55035.13827350325,535.8509587562571,192.85714285714283,364.2857142857143,170.01180637544275,403.7780401416765,125.48012072160331
16,248.79298022711026,244.64594983570174,2.254916310746065,118.66429044228109,7111.946473840714,8.860022573334675,214.28571428571428,300.0,212.51475796930345,318.77213695395517,96.56888493178383
17,221.3610736123243,230.61217927052485,2.8162588548282668,560.4693700367624,33590.79757753663,308.79969235735973,171.42857142857142,342.85714285714283,148.7603305785124,361.2750885478158,115.20638522823481
18,266.9935678551576,270.6698526598471,2.5470190771781978,714.0322153145228,42794.33077118374,81.14493206602616,171.42857142857142,364.2857142857143,170.01180637544275,340.0236127508855,108.9473603730349
19,248.04256332883344,252.2771079039713,2.7675925860913906,910.2945699484653,54556.98789224469,280.42556944758087,171.42857142857142,321.4285714285714,191.2632821723731,318.77213695395517,117.36062264372173
