id,mean_width_microns,mean_height_microns,avg_direction_radians,avg_speed_mps,total_distance_microns,distance_change_microns,min_width_microns,max_width_microns,min_height_microns,max_heigh_microns
0,266.90698513980357,270.0309695862781,2.4932647756947235,108.41670092110219,6497.774275204724,2.0,237.6950780312125,324.1296518607443,235.7142857142857,321.4285714285714
1,251.89264143678596,274.34288890653534,2.852310607225044,77.6666726920932,4654.822583346119,1.5,194.47779111644658,302.52100840336135,235.7142857142857,321.4285714285714
2,306.136462367048,301.59612483125545,2.6157184160661884,147.24658794968465,8824.978837784434,2.0,237.6950780312125,388.95558223289316,235.7142857142857,385.71428571428567
3,252.87758238370392,262.39577543079486,2.625470604549323,130.673709453036,7831.710986551958,9.219544457292887,216.08643457382954,302.52100840336135,214.28571428571428,321.4285714285714
4,261.8501541806272,273.8306995950131,2.158994328389996,119.62633210742341,7169.604837638242,0.7071067811865476,216.08643457382954,302.52100840336135,235.7142857142857,300.0
5,268.7327293340905,277.4279361550067,2.8932017971303834,112.16598491053644,6722.481362304818,1.0,216.08643457382954,302.52100840336135,257.1428571428571,321.4285714285714
6,260.2646394855886,250.56777574843164,2.43603633975044,85.60266716062101,5130.453185159886,1.5811388300841898,194.47779111644658,302.52100840336135,214.28571428571428,300.0
7,254.29493642926877,251.48495195743664,2.459697621074553,548.1529315863235,32852.632366406986,507.6317562958409,194.47779111644658,324.1296518607443,214.28571428571428,385.71428571428567
8,263.6398639500269,267.7439847534344,2.843237756917596,716.1470761961097,42921.0814333535,174.459880774922,216.08643457382954,367.34693877551024,214.28571428571428,364.2857142857143
9,216.12246899871676,235.6309060589216,2.990233132510954,69.51816084197503,4166.45510646237,0.0,194.47779111644658,280.9123649459784,214.28571428571428,300.0
10,240.6018549721167,256.6902247280235,2.6591752543508647,280.524941939847,16812.79485359483,89.36582120699165,172.86914765906363,388.95558223289316,171.42857142857142,385.71428571428567
11,250.4032185414466,291.2451361867704,2.580805599431109,111.39081999939778,6676.02314529724,4.272001872658765,172.86914765906363,324.1296518607443,214.28571428571428,385.71428571428567
12,285.5247713315454,287.8861272135313,2.896520895440289,871.2791136135396,52218.66154257147,33.59315406448165,216.08643457382954,388.95558223289316,235.7142857142857,385.71428571428567
13,240.84208447136498,245.67219884062573,2.403578349943156,98.67573183580569,5913.965528025954,2.23606797749979,194.47779111644658,302.52100840336135,192.85714285714283,300.0
14,224.2422260733087,248.44755022631617,2.4869021863067204,142.63677111749084,8548.69714897495,3.3541019662496847,194.47779111644658,302.52100840336135,192.85714285714283,342.85714285714283
15,293.0439546580166,292.91272929405227,2.873184127219259,839.6134101374431,50320.830380904095,9.192388155425117,194.47779111644658,432.17286914765907,171.42857142857142,492.85714285714283
16,292.4914268097456,287.4454061780354,2.674102363631859,741.1835410708055,44421.60022817694,574.6975291403296,216.08643457382954,410.5642256902761,214.28571428571428,428.57142857142856
17,240.67392382189118,238.4181688239498,2.66885292527036,428.1710720356456,25661.719584003025,6.020797289396148,194.47779111644658,302.52100840336135,192.85714285714283,300.0
18,282.47385669109224,246.2677678075121,2.461025357906938,289.7805078702538,17367.511771690548,353.1858575877579,216.08643457382954,345.73829531812726,192.85714285714283,364.2857142857143
19,257.08159862054885,257.67886921305484,2.6352593205908454,615.0997739809234,36864.97978725668,283.67675266048855,151.26050420168067,345.73829531812726,171.42857142857142,342.85714285714283
